Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QC","Crops","351","China","5510","Production","56","Maize","2016","2016","tonnes","263777750","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","56","Maize","2017","2017","tonnes","259256299","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","56","Maize","2018","2018","tonnes","257348659","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","27","Rice, paddy","2000","2000","tonnes","189814060","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","27","Rice, paddy","2001","2001","tonnes","179304887","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","27","Rice, paddy","2002","2002","tonnes","176342195","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","27","Rice, paddy","2003","2003","tonnes","162304280","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","27","Rice, paddy","2004","2004","tonnes","180522603","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","27","Rice, paddy","2005","2005","tonnes","182055138","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","27","Rice, paddy","2006","2006","tonnes","183276048","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","27","Rice, paddy","2007","2007","tonnes","187397460","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","27","Rice, paddy","2008","2008","tonnes","193352875","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","27","Rice, paddy","2009","2009","tonnes","196681177","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","27","Rice, paddy","2010","2010","tonnes","197212003","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","27","Rice, paddy","2011","2011","tonnes","202667169","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","27","Rice, paddy","2012","2012","tonnes","205936129","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","27","Rice, paddy","2013","2013","tonnes","205201696","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","27","Rice, paddy","2014","2014","tonnes","208239610","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","27","Rice, paddy","2015","2015","tonnes","213723732","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","27","Rice, paddy","2016","2016","tonnes","212681776","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","27","Rice, paddy","2017","2017","tonnes","214430049","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","27","Rice, paddy","2018","2018","tonnes","214078796","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","15","Wheat","2000","2000","tonnes","99636127","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","15","Wheat","2001","2001","tonnes","93873234","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","15","Wheat","2002","2002","tonnes","90290262","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","15","Wheat","2003","2003","tonnes","86488264","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","15","Wheat","2004","2004","tonnes","91952238","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","15","Wheat","2005","2005","tonnes","97445196","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","15","Wheat","2006","2006","tonnes","108466271","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","15","Wheat","2007","2007","tonnes","109298296","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","15","Wheat","2008","2008","tonnes","112464292","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","15","Wheat","2009","2009","tonnes","115115364","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","15","Wheat","2010","2010","tonnes","115186178","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","15","Wheat","2011","2011","tonnes","117414034","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","15","Wheat","2012","2012","tonnes","121030059","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","15","Wheat","2013","2013","tonnes","121930527","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","15","Wheat","2014","2014","tonnes","126215211","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","15","Wheat","2015","2015","tonnes","132646335","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","15","Wheat","2016","2016","tonnes","133277091","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","15","Wheat","2017","2017","tonnes","134340746","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","15","Wheat","2018","2018","tonnes","131447224","A","Aggregate, may include official, semi-official, estimated or calculated data",""
