"","sub_region_1","sub_region_2","2020-02-15","2020-02-16","2020-02-17","2020-02-18","2020-02-19","2020-02-20","2020-02-21","2020-02-22","2020-02-23","2020-02-24","2020-02-25","2020-02-26","2020-02-27","2020-02-28","2020-02-29","2020-03-01","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03","2020-05-04","2020-05-05","2020-05-06","2020-05-07","2020-05-08","2020-05-09","2020-05-10","2020-05-11","2020-05-12","2020-05-13","2020-05-14","2020-05-15","2020-05-16","2020-05-17","2020-05-18","2020-05-19","2020-05-20","2020-05-21","2020-05-22","2020-05-23","2020-05-24","2020-05-25","2020-05-26","2020-05-27","2020-05-28","2020-05-29","2020-05-30","2020-05-31","2020-06-01","2020-06-02","2020-06-03","2020-06-04","2020-06-05","2020-06-06","2020-06-07","2020-06-08","2020-06-09","2020-06-10","2020-06-11","2020-06-12","2020-06-13","2020-06-14","2020-06-15","2020-06-16","2020-06-17","2020-06-18","2020-06-19","2020-06-20","2020-06-21","2020-06-22","2020-06-23"
"11","Alabama","Chilton County",5,0,0,-3,-7,0,-3,2,0,0,6,6,10,9,19,18,5,15,2,6,5,8,19,12,7,9,25,36,34,29,29,16,13,21,15,12,-10,-4,-5,0,0,-4,-1,-11,-9,-13,6,1,19,12,-14,-10,-11,-11,0,0,11,-48,-3,-7,8,3,-3,6,-28,3,1,2,-10,0,15,0,-1,1,1,10,9,21,16,12,10,12,18,8,36,NA,9,5,12,11,6,30,13,6,6,13,18,12,28,21,23,1,7,16,7,26,NA,12,9,13,14,10,30,NA,8,2,15,14,15,32,NA,14,9,12,11,14,43,NA,4,13
"12","Alabama","Choctaw County",-9,-15,-15,-3,-9,-8,-9,-9,-3,-9,-2,-4,11,6,4,-2,-9,8,-13,6,1,-4,-2,-1,5,1,15,13,21,3,19,15,10,26,5,0,-13,0,3,-10,6,-3,-3,-16,-7,-5,6,5,14,1,-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Alabama","Clarke County",-18,-35,-23,-10,-8,-19,-16,-22,-31,-19,-12,-2,-6,0,-4,8,-8,17,2,12,-9,-13,-11,-2,-3,14,11,16,14,28,12,3,15,7,-5,-5,-18,-12,-14,-3,-8,-14,-5,-24,-19,-9,21,11,5,5,-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,NA,NA,-5,1,-3,-8,-3,NA,NA,-9,-11,-7,-9,-7,NA,NA,6,3,1,-7,-6,NA,NA,-7,3,-1,-4,-4,NA,NA,-4,3,0,-7,3,NA,NA,-10
"14","Alabama","Clay County",2,-6,8,4,0,-2,3,-5,2,-2,4,2,6,7,7,0,0,NA,-8,10,-5,2,4,8,4,-6,22,22,12,8,NA,NA,4,NA,19,7,-2,6,NA,-2,16,19,8,-14,10,-2,-2,NA,29,24,-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Alabama","Cleburne County",1,-3,-2,-3,-5,2,3,3,3,9,0,-2,17,6,15,5,-2,15,-2,2,4,6,-2,9,13,0,27,47,34,8,38,13,2,18,13,16,-5,2,7,0,3,1,0,-3,-17,-10,3,7,26,18,-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Alabama","Coffee County",4,-11,-2,1,0,-8,-4,6,-1,-2,-7,6,10,9,19,7,7,14,-6,3,4,16,11,6,8,11,16,27,36,16,22,11,11,11,10,12,-6,-6,-5,0,-2,-3,1,-15,-9,-13,2,2,6,13,-19,-13,-10,-12,-5,-6,-2,-31,-10,-7,-1,-2,-9,16,-10,-7,-5,2,-25,1,5,1,0,1,-2,7,9,22,13,11,15,9,14,12,34,26,11,13,15,15,10,24,4,8,20,15,16,13,21,10,4,14,6,8,8,20,8,18,9,19,14,11,21,4,4,0,14,13,11,22,11,11,14,16,13,11,28,14,2,8
"17","Alabama","Colbert County",7,4,-3,-5,3,-2,1,14,7,-3,3,4,3,5,11,7,-1,12,11,5,6,14,11,7,6,9,16,36,35,13,21,8,11,11,9,9,-4,-9,-21,0,-9,-5,2,-6,-17,-11,5,0,25,21,-16,-11,-8,-2,-6,-4,11,-52,-10,-6,3,-1,-3,8,-11,-4,-2,-1,-5,3,7,6,-2,2,8,8,14,26,21,9,9,15,11,3,41,35,3,1,8,7,5,26,12,3,4,11,5,5,19,24,-6,-4,5,2,7,21,19,11,8,16,8,4,19,14,-8,3,8,4,4,24,10,1,4,2,3,3,23,12,-8,-5
"18","Alabama","Conecuh County",-15,-8,4,-6,-2,0,-8,-11,-2,-4,2,-2,10,12,-2,10,-12,12,0,12,-2,-3,16,8,4,16,12,49,11,20,29,12,NA,24,12,3,6,20,8,18,18,5,3,-10,-4,6,NA,18,23,8,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Alabama","Coosa County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Alabama","Covington County",4,-10,4,0,2,-5,-3,1,-5,3,0,9,10,4,12,14,12,21,-1,14,4,9,9,15,10,14,19,23,29,24,30,25,27,26,17,17,0,5,0,5,8,1,1,-15,-4,-6,14,14,14,9,-17,0,-5,-2,0,0,6,-38,-2,2,12,8,-1,8,-8,3,4,8,-16,3,7,7,11,9,10,21,18,24,20,25,19,21,19,9,27,22,18,16,18,10,7,13,12,8,16,13,24,12,25,14,12,12,11,14,2,13,14,24,13,19,16,14,21,-2,15,6,12,18,11,19,18,18,7,6,14,8,23,19,10,4
"21","Alabama","Crenshaw County",-5,8,-6,-7,-3,-13,-7,1,2,-9,-12,2,0,7,1,8,-9,1,-6,-3,1,-1,12,-1,1,8,7,32,17,18,16,6,10,13,19,11,-8,-10,-7,-8,-7,-3,3,-17,-16,-21,6,-3,16,-1,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Alabama","Cullman County",4,1,-3,-7,7,2,1,4,4,-5,-1,4,10,7,13,11,3,18,6,6,3,14,12,7,8,11,28,39,43,21,31,19,21,21,17,10,-1,-9,-6,1,2,6,2,-2,-6,-9,13,12,31,23,-10,-8,-9,0,3,6,13,-39,-7,-1,11,6,0,7,-13,-1,0,1,0,0,9,1,-1,3,7,12,14,23,15,12,9,23,14,4,31,21,2,9,15,20,11,19,5,4,9,14,19,13,22,22,7,8,8,13,5,20,12,9,12,18,19,4,19,12,2,7,14,16,12,20,10,10,11,12,11,8,27,9,-1,4
"23","Alabama","Dale County",0,-6,0,12,7,-4,29,30,29,26,27,18,9,5,2,5,11,14,-1,5,8,-4,3,8,14,7,20,33,25,16,21,21,17,15,26,13,3,0,1,3,0,7,-3,-9,-11,-13,5,6,4,10,-22,-11,-16,-8,-5,-10,0,-27,-13,-9,0,-5,-8,-4,-15,0,1,1,-23,4,7,-5,1,0,2,6,10,7,1,10,6,1,7,9,26,22,10,11,4,3,0,3,-1,-3,10,14,12,4,12,10,-5,-2,4,9,4,6,8,12,3,11,5,3,3,-9,0,-10,1,0,-1,5,6,4,4,5,-1,-1,2,1,-8,-7
"24","Alabama","Dallas County",-2,-10,-4,-5,-7,-12,-9,-2,-6,-11,-3,5,6,9,17,31,7,10,-3,5,2,7,6,5,4,8,10,24,26,17,16,7,13,24,13,15,2,4,2,1,6,4,12,-2,-3,1,18,10,14,19,-16,NA,NA,NA,NA,0,7,NA,-8,-4,NA,NA,-8,1,NA,-3,NA,NA,-6,-2,8,NA,3,NA,NA,NA,14,16,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,2,-4,0,-1,-3,11,13,10,1,15,9,-9,-1,2,8,-1,2,-3,9,3,7,9,-4,-1,1,-11,-2,0,7,-2,3,NA,1,3,7,8,5,16,9,-8,-5
"25","Alabama","DeKalb County",1,0,-6,-6,-1,-7,0,2,2,-9,2,1,3,3,8,11,-3,14,4,3,3,4,7,4,6,5,16,31,26,13,18,10,3,14,12,4,-9,-8,-7,-6,-5,1,0,-7,-9,-14,3,1,18,12,-21,-15,-12,-10,-4,-1,2,-38,-11,-5,0,-1,-1,-2,-14,-2,2,-3,-6,-2,-3,-3,-6,-2,0,1,7,17,16,6,6,9,14,2,24,28,5,2,10,11,8,18,13,6,7,3,8,8,19,22,2,2,-7,9,1,16,17,11,7,8,9,7,18,19,3,3,8,9,6,16,15,5,5,8,8,7,22,21,6,5
"26","Alabama","Elmore County",5,0,2,-6,0,-9,-9,-7,-4,-13,-5,4,1,5,8,14,0,10,-4,3,2,12,10,10,7,11,16,38,28,20,20,14,20,16,15,9,-11,-1,-3,1,3,2,2,-13,-7,-12,10,7,24,15,-11,-7,-7,-5,1,3,6,-49,-6,-4,7,-2,-5,-1,-37,-2,-5,1,-19,-5,-3,-5,-6,-3,-6,1,3,5,1,0,5,7,5,-3,20,11,1,3,5,5,-3,7,-4,-1,4,7,7,-2,6,7,0,-7,-3,4,-3,2,3,5,3,9,5,-9,1,-1,-4,-3,3,3,-4,5,-1,0,2,7,3,2,13,8,-5,-5
"27","Alabama","Escambia County",-1,-10,-5,3,-4,-10,8,3,14,1,6,9,9,11,12,14,3,29,-4,9,7,10,16,13,14,13,18,31,28,32,31,26,18,18,19,16,10,9,6,0,-5,1,-1,-20,-14,0,18,12,13,10,-7,NA,NA,NA,NA,NA,NA,-40,-15,2,-2,1,-4,-7,NA,-11,-1,-4,-20,-2,-2,NA,-2,5,0,7,10,10,NA,5,NA,11,5,8,18,NA,-1,NA,12,7,1,4,NA,-2,5,7,3,5,9,NA,0,9,-1,10,3,13,NA,6,11,16,9,5,6,-1,-3,10,8,9,9,10,NA,2,13,9,4,7,13,NA,3,9
"28","Alabama","Etowah County",5,1,-3,-14,2,-6,-3,4,3,-8,2,5,4,2,11,13,-5,12,4,3,0,9,12,3,0,8,25,28,31,9,18,11,13,16,8,6,-4,-14,-7,-5,-1,-4,-2,-13,-11,-17,6,4,15,12,-22,-17,-18,-11,-6,-9,1,-53,-13,-12,-1,-2,-12,-3,-24,-11,-10,-6,-12,-9,-6,-8,-9,-7,-3,2,-1,6,2,1,3,5,5,-9,16,14,-4,-4,4,6,-2,9,-3,-3,-2,5,8,3,6,12,-6,-9,-5,2,-4,4,5,4,-1,9,9,-5,5,4,-5,-9,3,6,-5,6,6,-3,-1,6,7,0,14,7,-5,-5
"29","Alabama","Fayette County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Alabama","Franklin County",-3,4,-8,-12,-4,-6,1,-2,11,-5,-1,4,1,8,-1,14,-3,15,9,13,5,1,6,3,3,20,16,28,35,18,20,15,11,9,14,14,2,1,-13,-14,-1,6,-9,-4,-14,-26,14,7,23,18,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,-1,-4,13,12,3,NA,NA,NA,-2,6,0,-2,NA,NA,3,-5,15,8,-2,NA,NA,-7,0,5,4,-3,NA,NA,-4,1,10,5,0,NA,NA,-13,-11
"31","Alabama","Geneva County",-5,-10,-2,4,-3,-6,-5,-5,7,-3,0,5,10,7,3,16,18,26,0,6,1,3,17,5,16,1,12,24,18,26,39,25,30,33,26,20,15,9,6,0,5,0,4,-4,-9,-12,15,19,23,19,-7,NA,NA,NA,NA,10,14,-37,NA,NA,NA,NA,1,7,NA,NA,NA,NA,-21,10,9,NA,NA,NA,NA,NA,21,13,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,3,10,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,9,NA,6,16,NA,NA,NA,NA,NA,11,15,NA,NA,NA,NA,NA,7,18,NA,NA,NA,NA,NA,8,23,NA,NA,NA
"32","Alabama","Greene County",2,-7,-15,-7,9,-4,2,3,-2,-11,-2,7,9,24,6,24,11,18,7,11,2,12,7,16,5,7,18,17,22,13,16,9,9,2,-3,-8,-24,-9,-12,-2,-2,-11,-14,-22,-15,-18,4,-12,-3,-11,-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Alabama","Hale County",1,-30,-36,-30,-6,-26,-12,-19,-26,-7,-28,-17,13,2,8,-14,-1,8,-12,-9,-22,-9,-22,-29,-30,-24,-12,19,9,-10,-3,-12,-26,3,-17,-9,-29,-33,-24,-17,-14,-15,-8,-29,-25,-31,8,-11,0,-14,-36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Alabama","Henry County",0,-3,-1,-9,0,-13,-4,2,0,-3,-8,3,4,8,11,3,9,9,-3,-2,-5,7,8,9,4,6,12,21,19,27,22,1,14,17,20,21,0,1,-5,1,-2,5,18,-8,-9,-13,5,0,9,17,-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Alabama","Houston County",1,-10,-1,1,-1,-10,-1,4,-1,-6,2,7,7,6,12,13,9,17,-2,4,6,7,9,12,9,8,15,29,23,16,23,19,15,14,10,-1,-8,-5,-3,-7,-7,-2,-6,-18,-13,-13,5,3,5,-1,-25,-13,-12,-12,-6,-9,-5,-47,-14,-5,0,-3,-8,-9,-16,-9,-6,-3,-34,0,-4,-10,-3,-2,-3,4,2,1,2,5,10,8,8,5,14,9,2,6,6,5,-2,1,-4,0,9,6,8,2,3,4,-10,3,1,5,3,4,3,10,5,6,10,6,3,-2,4,-6,9,10,3,4,5,5,6,6,5,6,9,6,0,2
