,,,,,CONSUMERS ONLY,,,,,,,,,,
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,"Snacks, desserts, and other foods",A.01.001877,98,31.8%,59.99,48.84,7.50,16.00,45.00,175.00,200.00,250.00, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Grains and grain-based products,A.01.000001,67,100.0%,244.85,119.62,90.65,100.00,224.65,527.15,555.80,580.50,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Vegetables and vegetable products (including fungi,A.01.000317,47,70.1%,116.61,85.95,12.50,20.00,85.50,270.50,278.88,445.00,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Starchy roots and tubers,A.01.000467,27,40.3%,88.87,54.85,35.00,35.00,70.50,141.00,282.00,282.00,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,"Legumes, nuts and oilseeds",A.01.000486,12,17.9%,33.60,19.54,7.50,10.00,33.38,65.00,65.00,65.00,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Fruit and fruit products,A.01.000544,62,92.5%,164.53,103.43,30.00,48.75,154.00,378.75,399.50,485.00,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Meat and meat products (including edible offal),A.01.000727,61,91.0%,93.81,58.53,21.00,24.50,97.25,187.55,243.75,273.00,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,"Fish and other seafood (including amphibians, rept",A.01.000876,21,31.3%,81.95,43.25,25.00,25.00,99.50,142.50,199.00,199.00,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Milk and dairy products,A.01.000948,66,98.5%,133.01,141.24,10.00,15.00,78.75,476.00,557.50,618.50,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Eggs and egg products,A.01.001252,7,10.4%,30.00,0.00,30.00,30.00,30.00,30.00,30.00,30.00,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Sugar and confectionary,A.01.001267,45,67.2%,15.83,15.75,0.07,0.07,12.00,54.00,61.50,66.00,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Animal and vegetable fats and oils,A.01.001346,60,89.6%,19.39,12.06,0.66,1.91,17.32,37.13,49.96,55.00,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Fruit and vegetable juices,A.01.001394,28,41.8%,127.86,117.78,15.00,50.00,125.00,500.00,500.00,500.00,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Non-alcoholic beverages (excepting milk based beve,A.01.001470,67,100.0%,469.22,336.52,171.00,180.00,370.00,965.00,"1,650.00","1,851.00","Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Alcoholic beverages,A.01.001534,48,71.6%,323.10,323.21,50.00,62.50,187.50,"1,165.00","1,165.00","1,452.50","Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Drinking water (water without any additives except,A.01.001573,66,98.5%,789.41,478.91,125.00,225.00,728.13,"1,500.00","2,000.00","2,100.00","Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,"Herbs, spices and condiments",A.01.001580,57,85.1%,22.36,27.78,0.39,0.66,12.10,70.00,100.66,123.64,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Products for special nutritional use,A.01.001748,1,1.5%,12.50,0.00,12.50,12.50,12.50,12.50,12.50,12.50,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Composite food (including frozen products),A.01.001789,59,88.1%,234.19,117.01,65.50,95.00,214.00,460.50,460.50,524.00,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,"Snacks, desserts, and other foods",A.01.001877,15,22.4%,56.47,40.51,5.00,13.50,50.00,155.00,155.00,155.00,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Grains and grain-based products,A.01.000001,25,100.0%,274.33,105.84,133.15,145.65,255.00,486.00,494.00,494.00,"Number of observations lower than 60, the 95th and higher percentiles may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Vegetables and vegetable products (including fungi,A.01.000317,21,84.0%,117.33,91.65,6.00,7.50,88.75,270.50,308.88,308.88,"Number of observations lower than 60, the 95th and higher percentiles may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Starchy roots and tubers,A.01.000467,11,44.0%,78.18,28.34,35.00,70.50,70.50,141.00,141.00,141.00,"Number of observations lower than 60, the 95th and higher percentiles may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,"Legumes, nuts and oilseeds",A.01.000486,5,20.0%,37.70,46.10,5.00,5.00,10.00,113.50,113.50,113.50,"Number of observations lower than 60, the 95th and higher percentiles may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Fruit and fruit products,A.01.000544,24,96.0%,166.65,117.05,17.50,17.50,154.50,370.00,394.50,394.50,"Number of observations lower than 60, the 95th and higher percentiles may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Meat and meat products (including edible offal),A.01.000727,20,80.0%,105.54,73.91,12.50,12.50,99.75,229.00,237.15,237.15,"Number of observations lower than 60, the 95th and higher percentiles may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,"Fish and other seafood (including amphibians, rept",A.01.000876,6,24.0%,83.67,29.36,25.00,25.00,97.00,99.50,99.50,99.50,"Number of observations lower than 60, the 95th and higher percentiles may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Milk and dairy products,A.01.000948,24,96.0%,141.28,105.50,20.00,29.50,121.75,350.00,375.50,375.50,"Number of observations lower than 60, the 95th and higher percentiles may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Eggs and egg products,A.01.001252,6,24.0%,37.50,12.55,30.00,30.00,30.00,60.00,60.00,60.00,"Number of observations lower than 60, the 95th and higher percentiles may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Sugar and confectionary,A.01.001267,20,80.0%,12.42,10.22,0.04,0.07,10.04,25.50,37.50,37.50,"Number of observations lower than 60, the 95th and higher percentiles may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Animal and vegetable fats and oils,A.01.001346,23,92.0%,21.07,13.79,0.66,5.21,20.00,47.24,54.30,54.30,"Number of observations lower than 60, the 95th and higher percentiles may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Fruit and vegetable juices,A.01.001394,8,32.0%,178.75,114.16,62.50,62.50,125.00,375.00,375.00,375.00,"Number of observations lower than 60, the 95th and higher percentiles may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Non-alcoholic beverages (excepting milk based beve,A.01.001470,25,100.0%,605.35,419.08,180.00,180.00,520.00,"1,370.00","1,745.00","1,745.00","Number of observations lower than 60, the 95th and higher percentiles may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Alcoholic beverages,A.01.001534,12,48.0%,244.58,172.33,10.00,125.00,187.50,635.00,635.00,635.00,"Number of observations lower than 60, the 95th and higher percentiles may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Drinking water (water without any additives except,A.01.001573,25,100.0%,"1,114.20",608.29,187.50,250.00,"1,000.00","2,000.00","2,360.00","2,360.00","Number of observations lower than 60, the 95th and higher percentiles may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,"Herbs, spices and condiments",A.01.001580,23,92.0%,19.92,22.63,0.66,0.71,11.26,60.86,62.29,62.29,"Number of observations lower than 60, the 95th and higher percentiles may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Composite food (including frozen products),A.01.001789,24,96.0%,243.77,174.27,45.00,47.50,221.75,542.50,614.00,614.00,"Number of observations lower than 60, the 95th and higher percentiles may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,"Snacks, desserts, and other foods",A.01.001877,4,16.0%,62.75,30.07,18.00,18.00,75.00,83.00,83.00,83.00,"Number of observations lower than 60, the 95th and higher percentiles may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Grains and grain-based products,A.01.000001,128,100.0%,263.45,86.69,116.98,141.86,255.20,403.38,421.20,434.01,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Vegetables and vegetable products (including fungi,A.01.000317,126,98.4%,71.83,48.85,11.67,18.63,61.83,166.98,182.94,231.76,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Starchy roots and tubers,A.01.000467,97,75.8%,60.45,46.73,12.37,12.76,48.00,151.67,166.67,294.51,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,"Legumes, nuts and oilseeds",A.01.000486,41,32.0%,14.79,12.40,3.46,5.42,10.17,36.12,46.67,62.50,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Fruit and fruit products,A.01.000544,111,86.7%,105.56,76.40,6.67,21.08,96.67,263.33,284.37,295.85,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Meat and meat products (including edible offal),A.01.000727,126,98.4%,87.66,50.69,24.30,27.82,79.22,177.36,214.42,240.02,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,"Fish and other seafood (including amphibians, rept",A.01.000876,43,33.6%,49.24,26.16,13.33,18.87,53.03,95.00,110.03,132.85,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Milk and dairy products,A.01.000948,124,96.9%,296.02,183.42,37.18,89.61,279.57,616.06,729.33,969.78,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Eggs and egg products,A.01.001252,100,78.1%,20.02,15.38,2.71,2.90,16.70,48.19,56.86,59.67,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Sugar and confectionary,A.01.001267,120,93.8%,33.03,26.87,0.83,5.00,24.57,78.97,96.49,120.00,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Animal and vegetable fats and oils,A.01.001346,128,100.0%,26.79,17.51,4.90,7.67,23.21,63.18,68.57,79.67,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Fruit and vegetable juices,A.01.001394,117,91.4%,173.84,167.37,8.00,15.45,133.33,570.67,638.77,770.00,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Non-alcoholic beverages (excepting milk based beve,A.01.001470,101,78.9%,239.15,188.90,50.00,66.67,200.00,550.00,693.33,753.33,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Alcoholic beverages,A.01.001534,43,33.6%,10.78,18.10,0.36,0.53,4.77,41.67,83.33,83.61,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Drinking water (water without any additives except,A.01.001573,127,99.2%,576.73,337.16,89.99,168.29,515.73,"1,095.22","1,237.07","1,369.15","Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,"Herbs, spices and condiments",A.01.001580,127,99.2%,9.98,11.14,0.70,1.18,7.22,34.44,45.65,51.33,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Products for special nutritional use,A.01.001748,3,2.3%,222.22,96.23,166.67,166.67,166.67,333.33,333.33,333.33,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Composite food (including frozen products),A.01.001789,74,57.8%,102.17,73.09,16.67,25.00,83.33,235.67,284.00,308.00,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,"Snacks, desserts, and other foods",A.01.001877,82,64.1%,46.13,35.61,3.90,9.00,36.67,130.33,137.00,167.67,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Grains and grain-based products,A.01.000001,237,100.0%,240.27,95.94,90.43,118.66,237.00,398.96,468.66,515.48,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Vegetables and vegetable products (including fungi,A.01.000317,216,91.1%,65.43,52.52,6.56,13.33,49.26,181.84,212.89,254.21,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Starchy roots and tubers,A.01.000467,161,67.9%,63.21,44.62,11.98,15.87,49.38,161.96,180.92,194.67,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,"Legumes, nuts and oilseeds",A.01.000486,39,16.5%,15.75,13.81,4.35,5.99,10.67,64.00,66.67,66.67,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Fruit and fruit products,A.01.000544,185,78.1%,87.84,73.53,4.91,11.67,70.11,250.00,287.67,333.10,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Meat and meat products (including edible offal),A.01.000727,227,95.8%,101.63,56.88,27.18,35.66,91.01,200.25,235.97,281.01,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,"Fish and other seafood (including amphibians, rept",A.01.000876,60,25.3%,46.82,43.90,0.17,0.35,35.37,112.00,132.67,262.67,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Milk and dairy products,A.01.000948,232,97.9%,206.66,157.87,21.96,42.40,176.50,481.78,633.33,716.67,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Eggs and egg products,A.01.001252,164,69.2%,18.66,18.88,2.31,2.88,11.70,63.29,68.70,93.81,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Sugar and confectionary,A.01.001267,189,79.7%,21.58,20.51,1.01,3.73,14.67,66.67,74.10,110.00,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Animal and vegetable fats and oils,A.01.001346,229,96.6%,20.97,14.80,2.29,4.43,17.95,52.85,57.82,66.06,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Fruit and vegetable juices,A.01.001394,173,73.0%,170.32,175.60,6.67,10.00,112.77,436.67,541.67,843.33,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Non-alcoholic beverages (excepting milk based beve,A.01.001470,179,75.5%,329.10,287.58,66.67,83.33,250.00,833.33,"1,100.00","1,616.67","Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Alcoholic beverages,A.01.001534,51,21.5%,8.81,18.19,0.27,0.39,4.77,12.97,66.67,118.54,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Drinking water (water without any additives except,A.01.001573,228,96.2%,555.46,394.11,50.73,100.67,449.44,"1,297.71","1,437.16","1,700.00","Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,"Herbs, spices and condiments",A.01.001580,229,96.6%,7.36,9.36,0.39,0.62,3.43,29.11,40.10,43.69,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Composite food (including frozen products),A.01.001789,157,66.2%,91.07,67.65,21.94,25.00,73.00,216.33,255.33,309.00,"Number of observations lower than 300, the 99th may not be statistically robust"
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,"Snacks, desserts, and other foods",A.01.001877,123,51.9%,37.87,31.66,5.00,8.33,31.56,94.67,119.05,155.00,"Number of observations lower than 300, the 99th may not be statistically robust"
Belgium,Diet National 2004,Adolescents,Grains and grain-based products,A.01.000001,576,100.0%,259.76,127.23,82.50,116.90,241.25,488.30,553.00,688.50, 
Belgium,Diet National 2004,Adolescents,Vegetables and vegetable products (including fungi,A.01.000317,528,91.7%,103.19,83.14,7.00,15.45,85.85,267.15,330.55,376.50, 
Belgium,Diet National 2004,Adolescents,Starchy roots and tubers,A.01.000467,465,80.7%,116.30,79.64,31.00,31.30,96.75,266.00,317.50,359.65, 
Belgium,Diet National 2004,Adolescents,"Legumes, nuts and oilseeds",A.01.000486,131,22.7%,37.69,25.86,7.50,12.00,30.00,85.50,99.00,110.00, 
Belgium,Diet National 2004,Adolescents,Fruit and fruit products,A.01.000544,380,66.0%,132.98,108.56,10.85,20.00,99.45,353.70,431.70,481.95, 
Belgium,Diet National 2004,Adolescents,Meat and meat products (including edible offal),A.01.000727,554,96.2%,113.88,77.76,21.50,30.35,98.13,265.00,289.00,334.75, 
Belgium,Diet National 2004,Adolescents,"Fish and other seafood (including amphibians, rept",A.01.000876,188,32.6%,46.23,35.84,8.00,12.00,38.90,121.50,135.00,198.10, 
Belgium,Diet National 2004,Adolescents,Milk and dairy products,A.01.000948,540,93.8%,228.61,204.86,17.05,28.15,170.03,618.40,779.60,"1,052.40", 
Belgium,Diet National 2004,Adolescents,Eggs and egg products,A.01.001252,227,39.4%,24.47,26.58,1.70,2.35,12.50,88.10,96.00,101.15, 
Belgium,Diet National 2004,Adolescents,Sugar and confectionary,A.01.001267,464,80.6%,40.12,34.30,5.00,8.50,30.00,102.50,128.00,153.30, 
Belgium,Diet National 2004,Adolescents,Animal and vegetable fats and oils,A.01.001346,561,97.4%,19.94,21.00,1.65,2.90,13.20,58.20,77.00,98.00, 
Belgium,Diet National 2004,Adolescents,Fruit and vegetable juices,A.01.001394,284,49.3%,234.34,220.06,62.50,75.00,152.10,600.00,750.00,"1,325.00", 
Belgium,Diet National 2004,Adolescents,Non-alcoholic beverages (excepting milk based beve,A.01.001470,504,87.5%,622.50,461.21,100.00,125.00,502.25,"1,425.00","1,655.00","1,765.00", 
Belgium,Diet National 2004,Adolescents,Alcoholic beverages,A.01.001534,109,18.9%,357.29,514.86,9.40,23.05,137.50,"1,500.00","2,125.00","2,560.00", 
Belgium,Diet National 2004,Adolescents,Drinking water (water without any additives except,A.01.001573,471,81.8%,699.61,528.53,75.00,138.57,575.00,"1,750.00","1,900.00","2,125.00", 
Belgium,Diet National 2004,Adolescents,"Herbs, spices and condiments",A.01.001580,507,88.0%,46.02,50.22,4.15,6.00,31.20,141.50,176.10,285.75, 
Belgium,Diet National 2004,Adolescents,Food for infants and small children,A.01.001715,12,2.1%,21.88,9.18,12.50,12.50,23.75,37.50,37.50,37.50, 
Belgium,Diet National 2004,Adolescents,Products for special nutritional use,A.01.001748,35,6.1%,191.43,249.61,5.00,8.75,165.00,750.00,"1,250.00","1,250.00", 
Belgium,Diet National 2004,Adolescents,Composite food (including frozen products),A.01.001789,336,58.3%,138.66,124.69,10.00,16.85,131.25,370.75,484.90,559.00, 
Belgium,Diet National 2004,Adolescents,"Snacks, desserts, and other foods",A.01.001877,298,51.7%,51.92,41.02,10.00,15.00,37.50,132.75,154.85,196.50, 
Belgium,Diet National 2004,Adults,Grains and grain-based products,A.01.000001,"1,287",99.6%,235.68,124.58,75.00,98.10,213.00,464.55,532.95,615.90, 
Belgium,Diet National 2004,Adults,Vegetables and vegetable products (including fungi,A.01.000317,"1,202",93.0%,130.61,96.09,18.75,30.15,112.43,312.40,361.15,470.25, 
Belgium,Diet National 2004,Adults,Starchy roots and tubers,A.01.000467,"1,038",80.3%,118.84,77.94,31.00,35.60,106.25,266.00,304.00,345.50, 
Belgium,Diet National 2004,Adults,"Legumes, nuts and oilseeds",A.01.000486,362,28.0%,42.97,37.12,3.95,7.50,33.33,100.00,125.00,180.00, 
Belgium,Diet National 2004,Adults,Fruit and fruit products,A.01.000544,994,76.9%,156.39,117.21,15.10,30.00,131.80,378.15,433.90,502.60, 
Belgium,Diet National 2004,Adults,Meat and meat products (including edible offal),A.01.000727,"1,241",96.1%,123.18,80.39,24.50,37.80,107.80,288.90,318.05,366.30, 
Belgium,Diet National 2004,Adults,"Fish and other seafood (including amphibians, rept",A.01.000876,538,41.6%,61.02,49.62,6.00,10.50,50.00,159.15,199.00,228.00, 
Belgium,Diet National 2004,Adults,Milk and dairy products,A.01.000948,"1,218",94.3%,184.63,176.63,17.50,30.50,141.93,499.45,601.00,881.80, 
Belgium,Diet National 2004,Adults,Eggs and egg products,A.01.001252,508,39.3%,26.52,29.06,1.25,2.25,16.33,86.50,95.00,123.25, 
Belgium,Diet National 2004,Adults,Sugar and confectionary,A.01.001267,965,74.7%,31.67,32.97,3.00,4.50,23.50,87.50,123.23,157.56, 
Belgium,Diet National 2004,Adults,Animal and vegetable fats and oils,A.01.001346,"1,274",98.6%,29.04,29.57,2.00,3.95,20.30,85.10,112.85,138.55, 
Belgium,Diet National 2004,Adults,Fruit and vegetable juices,A.01.001394,492,38.1%,180.84,186.18,2.50,17.25,125.00,500.00,625.00,981.40, 
Belgium,Diet National 2004,Adults,Non-alcoholic beverages (excepting milk based beve,A.01.001470,"1,247",96.5%,742.73,528.82,165.00,237.50,625.00,"1,700.00","2,011.25","2,540.00", 
Belgium,Diet National 2004,Adults,Alcoholic beverages,A.01.001534,692,53.6%,389.07,432.11,35.90,62.50,250.00,"1,250.00","1,467.50","2,000.00", 
Belgium,Diet National 2004,Adults,Drinking water (water without any additives except,A.01.001573,"1,105",85.5%,786.00,607.11,98.00,150.00,675.00,"1,880.50","2,250.00","2,625.00", 
Belgium,Diet National 2004,Adults,"Herbs, spices and condiments",A.01.001580,"1,080",83.6%,40.40,46.14,2.30,4.50,25.10,133.20,165.80,221.70, 
