Naturalness,Taste,Price,Safety,Convenience,Nutrition,Novelty,Origin,Fairness,Appearance,Environmental Impact,Animal Welfare,Naturalness,Taste,Price,Safety,Convenience,Nutrition,Novelty,Origin,Fairness,Appearance,Environmental Impact,Animal Welfare,Weekly GroceryExpenditure,Weekly Eating Out Expenditure,Finding affordable foods that fit my budget,"Avoiding foods that contain pesticides, added hormones & antibiotics","Finding convenient, quick-to-make alternatives",Finding foods my children will eat,Losing weight,Finding time to cook at home,"Avoiding certain nutrients or ingredients (i.e. sodium, carbohydrates, trans fats, etc.)",Priceset1,Priceset2,Priceset3,Priceset4,Priceset5,Priceset6,Priceset7,Priceset8,Priceset9,Priceset10,Priceset11,Priceset12,Priceset13,Priceset14,Priceset15,Priceset16,Priceset17,Priceset18,Priceset19,Priceset20,Priceset21,Pricese22,Priceset23,Priceset24,Priceset25,Priceset26,Priceset27,Are you a vegetarian or a vegan?,Primaryshopper,FarmingExperience,CurrentlyFarm,Gender,Age,MaritalStatus,NumberInHousehold,Children<12,Weight,Height,ReceivedFoodStamps,CurrentlyOnFoodStamps,State,Education,Approximate / annual household income before taxes in 2012,"Hispanic, Latino, or Spanish origin?",Race,PoliticalInclination,PoliticalParty,LocationLatitude,LocationLongitude
,,0,3,0,4,,,0,1,0,2,1,1,1,2,,,,,1,3,1,4,3,2,5,4,1,7,6,2,3,1,3,6,7,4,5,5,6,4,,,,,,,,,,,,,,,,,,,2,1,2,2,2,4,2,2,2,150,12,2,2,34,2,2,1,2,4,1,36.117202758789,-80.076499938965
1,1,0,4,1,2,0,1,0,2,,,,,,,1,4,0,3,1,3,,,6,5,6,2,5,1,4,7,3,,,,,,,,,,,,,,,,,,,9,9,1,1,9,8,5,5,1,2,3,2,2,2,2,2,5,1,266,18,1,2,31,2,2,3,5,6,4,40.503204345703,-74.428901672363
,,0,3,0,2,0,1,1,4,,,1,2,1,1,,,0,4,1,3,,,5,2,5,6,7,4,2,1,3,,,,,,,,,,5,5,6,5,6,1,6,5,6,,,,,,,,,,2,1,2,2,1,2,2,2,2,200,24,2,2,5,5,5,3,12,2,1,30.262298583984,-97.74649810791
1,4,0,3,0,4,0,1,1,2,0,2,1,1,,,,,1,3,,,,,8,2,5,4,3,7,6,1,2,,,,,,,,,,,,,,,,,,,2,1,1,1,1,2,5,2,1,2,3,2,2,2,3,2,4,2,110,10,2,2,20,5,6,5,1,1,4,43.817596435547,-69.715599060059
,,0,1,1,4,,,0,2,0,3,1,1,1,2,1,3,0,4,,,,,6,5,5,2,7,3,1,4,6,,,,,,,,,,5,5,8,8,7,7,6,8,6,,,,,,,,,,2,1,2,2,1,4,2,4,1,205,20,2,2,33,5,9,1,1,4,2,40.665893554688,-73.639503479004
,,0,4,0,1,0,2,,,0,3,,,,,1,3,1,4,1,1,1,2,3,5,6,5,7,4,2,3,1,,,,,,,,,,,,,,,,,,,2,9,5,1,2,2,9,3,1,2,1,2,2,2,3,4,2,2,125,20,1,2,10,3,6,3,14,2,1,26.721496582031,-80.127601623535
,,0,4,0,1,1,3,0,3,,,,,,,1,1,0,2,1,2,1,4,5,2,1,3,2,7,5,6,4,4,6,1,1,2,5,3,7,2,,,,,,,,,,,,,,,,,,,2,1,2,2,2,5,4,3,2,165,20,2,2,24,3,4,3,1,3,1,45.005905151367,-93.43049621582
0,4,0,2,0,1,,,1,2,0,3,1,4,1,1,,,1,3,,,,,4,1,3,6,2,7,1,5,4,9,9,8,4,9,5,1,7,9,,,,,,,,,,,,,,,,,,,2,1,2,2,2,5,4,1,2,184,16,2,2,5,5,4,2,1,3,1,33.708099365234,-117.75959777832
1,2,0,1,0,2,0,4,,,0,3,,,1,1,1,3,1,4,,,,,6,2,3,7,5,4,2,1,6,,,,,,,,,,3,5,6,1,6,3,6,6,3,,,,,,,,,,2,1,2,2,1,1,1,4,2,185,20,2,2,33,3,2,4,1,4,2,40.595794677734,-74.152496337891
,,0,4,0,1,0,3,,,0,2,1,1,1,2,1,3,,,,,1,4,7,3,1,5,3,7,4,6,2,,,,,,,,,,,,,,,,,,,2,7,1,7,2,4,5,5,1,2,2,2,2,1,1,1,4,2,190,22,2,2,37,3,3,1,6,4,2,35.481292724609,-97.577697753906
,,0,4,0,3,,,1,3,0,1,1,2,1,1,1,4,0,2,,,,,5,8,3,6,2,5,4,1,7,,,,,,,,,,,,,,,,,,,2,2,5,2,2,2,6,6,1,2,1,2,2,2,5,3,2,2,231,11,1,1,39,2,2,1,2,3,1,40.292098999023,-76.425903320312
1,2,0,1,0,3,0,4,,,,,1,3,0,2,1,4,,,,,1,1,2,1,5,7,3,2,4,1,6,3,2,6,1,5,8,4,5,7,,,,,,,,,,,,,,,,,,,2,3,2,2,2,3,2,3,1,206,12,1,2,25,6,2,1,2,6,1,33.496704101562,-90.336502075195
0,1,,,0,3,0,4,1,4,,,,,1,3,,,0,2,1,1,1,2,9,2,5,4,6,2,1,7,3,,,,,,,,,,5,1,7,7,7,1,7,5,5,,,,,,,,,,2,1,2,2,1,4,2,4,1,175,26,2,2,21,6,7,1,5,5,2,39.018203735352,-77.208602905273
,,0,4,0,3,1,4,1,2,0,2,0,1,1,1,,,,,,,1,3,6,3,7,6,5,2,1,3,4,,,,,,,,,,,,,,,,,,,1,2,2,5,2,1,1,2,1,2,1,2,2,2,3,2,3,1,170,19,2,2,21,5,4,1,2,2,1,39.41569519043,-76.571800231934
0,3,0,1,,,0,2,1,4,,,1,2,,,0,4,1,3,,,1,1,6,7,7,5,6,3,4,2,1,2,2,1,5,2,2,5,6,2,,,,,,,,,,,,,,,,,,,1,2,2,1,1,4,2,3,1,175,21,2,2,21,5,5,1,2,3,4,39.050399780273,-76.905502319336
1,3,0,2,0,1,,,0,3,0,4,1,2,1,1,,,,,1,4,,,4,2,1,6,3,7,5,4,2,,,,,,,,,,5,5,5,5,5,3,3,5,3,,,,,,,,,,2,1,2,2,1,1,1,2,2,145,18,2,2,34,5,4,1,2,2,1,39.045700073242,-78.227600097656
1,2,0,2,,,1,3,1,4,0,1,,,0,3,,,1,1,0,4,,,1,1,1,2,3,6,7,4,5,,,,,,,,,,,,,,,,,,,5,6,5,6,1,1,5,3,5,2,1,2,2,2,2,1,2,2,105,12,1,1,10,4,1,2,1,3,4,28.940002441406,-81.989700317383
,,,,0,3,0,2,1,4,0,4,1,1,1,2,0,1,1,3,,,,,9,3,1,3,5,2,7,6,4,,,,,,,,,,2,5,6,2,6,7,2,5,3,,,,,,,,,,2,1,1,2,1,3,2,5,1,250,24,1,2,43,6,4,3,1,5,4,35.859603881836,-86.420997619629
0,3,,,1,4,0,2,1,1,,,1,2,0,1,1,3,0,4,,,,,8,2,1,5,3,2,7,6,4,5,6,6,9,5,5,5,5,9,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,4,4,1,118,11,2,2,21,4,5,1,14,2,1,39.204299926758,-76.88330078125
0,1,0,2,1,4,0,4,1,1,,,,,0,3,,,1,2,,,1,3,6,5,2,7,5,3,1,4,6,,,,,,,,,,6,5,6,6,6,6,6,5,5,,,,,,,,,,2,1,2,2,2,3,2,2,2,150,19,1,1,21,2,2,1,2,3,4,38.817901611328,-76.942497253418
,,0,2,1,4,0,4,1,1,0,1,1,3,,,1,2,,,0,3,,,3,4,1,3,5,7,6,4,2,,,,,,,,,,2,4,5,5,5,4,7,3,6,,,,,,,,,,2,1,2,2,2,3,1,1,2,135,16,2,2,33,5,5,3,1,2,4,40.730804443359,-73.997497558594
0,3,,,0,2,1,4,1,3,1,2,1,1,0,1,,,0,4,,,,,9,1,3,4,7,6,2,1,5,,,,,,,,,,,,,,,,,,,8,5,8,6,3,2,3,1,7,2,1,2,2,2,4,1,4,1,173,18,1,2,10,2,2,1,2,1,1,27.249801635742,-80.379699707031
,,,,1,4,0,3,1,3,0,1,1,1,,,,,1,2,0,2,0,4,4,1,2,1,4,7,5,6,3,7,9,6,7,9,5,5,5,9,,,,,,,,,,,,,,,,,,,2,1,2,2,2,6,5,2,2,110,15,2,2,33,5,4,1,2,2,1,40.816299438477,-73.862098693848
,,0,2,0,1,,,0,3,1,4,1,3,1,1,1,2,0,4,,,,,2,1,2,4,3,7,6,1,5,,,,,,,,,,3,5,8,8,5,3,3,5,3,,,,,,,,,,2,1,2,2,2,1,1,2,2,150,16,2,2,20,3,2,5,1,6,4,44.644393920898,-68.740196228027
1,2,0,4,0,2,,,1,3,0,1,1,1,1,4,,,0,3,,,,,6,3,1,5,4,7,2,3,6,1,6,3,1,9,5,5,5,6,,,,,,,,,,,,,,,,,,,2,3,2,2,1,3,1,2,2,140,20,2,2,31,4,6,4,1,1,1,40.752807617188,-73.972503662109
1,1,0,4,,,0,1,1,4,,,0,3,,,1,2,,,0,2,1,3,4,6,3,6,7,5,4,2,1,,,,,,,,,,,,,,,,,,,3,6,6,4,5,3,5,2,4,2,1,2,2,2,2,2,4,2,165,16,2,2,10,3,2,1,2,5,1,28.544494628906,-81.370597839355
,,0,3,,,0,1,0,4,0,2,1,4,1,2,1,1,1,3,,,,,6,2,2,1,4,7,6,3,5,6,6,6,8,6,5,6,6,6,,,,,,,,,,,,,,,,,,,2,1,2,2,2,6,5,2,2,140,14,2,2,33,5,3,1,6,3,4,43.11540222168,-77.557601928711
,,0,3,,,0,1,1,1,0,2,1,3,0,4,,,,,1,2,1,4,3,1,4,1,2,7,6,3,5,,,,,,,,,,,,,,,,,,,9,2,1,2,7,2,2,2,2,2,1,2,2,1,7,4,1,2,232,26,2,2,11,3,2,1,2,2,1,33.741104125977,-84.109298706055
,,0,1,1,1,,,1,2,0,2,0,4,,,1,4,0,3,,,1,3,8,5,2,3,7,1,4,5,6,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,2,1,2,2,1,4,2,2,2,116,16,2,2,47,6,9,1,4,3,1,38.860504150391,-77.263000488281
1,4,0,1,0,2,,,,,1,2,1,3,0,3,,,0,4,1,1,,,8,4,3,1,2,7,6,4,5,,,,,,,,,,3,5,8,2,1,3,2,5,3,,,,,,,,,,2,1,2,2,2,4,1,3,2,211,21,1,1,39,4,2,1,2,2,2,40.319595336914,-76.875297546387
,,0,4,,,0,3,1,4,0,2,1,1,1,2,,,0,1,1,3,,,9,6,3,4,1,6,5,7,2,5,7,6,1,5,5,7,1,6,,,,,,,,,,,,,,,,,,,2,1,2,2,2,3,2,4,1,135,15,2,2,7,5,7,1,8,3,1,41.286407470703,-72.795600891113
0,3,0,1,1,1,0,4,1,3,0,2,1,2,,,,,1,4,,,,,8,7,5,2,6,1,7,4,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,2,1,2,2,2,2,2,4,1,125,14,2,2,17,5,4,1,9,2,4,37.706802368164,-97.278701782227
1,1,0,1,1,4,0,4,,,0,3,,,,,,,0,2,1,2,1,3,5,3,7,3,6,2,1,5,4,,,,,,,,,,,,,,,,,,,4,3,2,1,2,8,5,2,6,2,1,2,2,2,2,2,4,1,188,15,2,2,11,5,8,1,2,1,1,33.918792724609,-84.067802429199
0,4,0,2,0,3,0,1,,,1,2,1,4,1,1,,,,,,,1,3,6,3,6,5,4,1,2,7,3,,,,,,,,,,1,6,5,3,4,4,1,6,4,,,,,,,,,,2,1,1,2,1,4,3,3,2,210,22,1,1,8,2,2,1,14,4,1,39.718704223633,-75.621597290039
,,0,3,0,1,1,4,,,0,2,0,4,1,1,1,3,1,2,,,,,1,1,1,6,5,4,7,3,2,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,7,1,1,2,2,2,2,1,5,2,109,12,2,2,22,6,1,1,4,1,1,42.377899169922,-71.061996459961
,,0,1,0,4,0,3,1,1,,,,,1,2,1,3,0,2,,,1,4,4,3,3,7,4,2,6,1,5,7,2,2,1,6,8,7,2,8,,,,,,,,,,,,,,,,,,,2,3,2,2,1,2,1,2,2,225,29,1,2,34,4,4,1,2,3,4,35.746307373047,-78.723899841309
1,1,0,2,0,4,,,0,1,,,,,1,3,1,4,0,3,1,2,,,2,2,4,5,2,3,7,1,6,,,,,,,,,,4,4,4,4,4,4,4,4,4,,,,,,,,,,2,1,1,2,1,2,4,2,1,240,21,1,2,11,5,3,5,1,4,4,33.933502197266,-84.397201538086
,,0,3,0,4,0,1,,,1,1,1,4,1,2,,,0,2,1,3,,,5,4,4,5,3,7,1,6,2,,,,,,,,,,5,5,6,5,5,5,6,5,5,,,,,,,,,,2,1,2,2,2,1,1,5,1,185,16,2,2,34,3,6,1,2,1,1,36.066101074219,-79.806701660156
,,0,4,0,1,,,0,3,0,2,1,3,1,2,1,1,1,4,,,,,2,3,1,6,2,3,7,4,5,,,,,,,,,,2,3,6,1,7,4,5,8,9,,,,,,,,,,2,1,2,2,1,2,2,4,1,155,24,1,2,41,3,4,1,2,3,1,33.524398803711,-81.942398071289
,,0,4,0,1,,,1,1,0,2,1,4,1,3,,,0,3,1,2,,,6,1,2,1,3,5,7,4,6,,,,,,,,,,,,,,,,,,,9,8,1,1,8,9,9,9,1,2,1,2,2,2,5,2,3,2,115,12,2,2,31,3,4,1,2,1,1,39.386993408203,-74.621696472168
0,3,1,2,0,4,0,1,1,1,0,2,,,,,1,4,1,3,,,,,3,2,4,1,7,3,2,5,6,,,,,,,,,,5,5,6,2,6,3,6,5,6,,,,,,,,,,2,1,2,1,1,3,2,2,2,230,13,2,2,23,6,4,1,3,1,2,42.974197387695,-85.931098937988
,,0,3,0,1,,,0,4,1,3,,,1,2,,,0,2,1,1,1,4,4,4,4,6,3,7,1,5,2,1,3,1,1,1,8,3,1,4,,,,,,,,,,,,,,,,,,,2,3,2,2,1,3,2,2,2,254,26,1,2,17,3,2,1,3,3,4,38.811996459961,-96.96410369873
,,0,1,0,3,,,1,4,0,4,1,1,1,3,,,0,2,1,2,,,5,3,5,6,1,7,3,2,4,,,,,,,,,,,,,,,,,,,2,1,1,3,1,3,5,3,1,2,1,2,2,2,5,2,2,2,130,21,2,2,6,5,7,1,2,2,1,39.627593994141,-104.78330230713
,,1,3,,,1,2,0,3,0,1,,,1,1,0,2,0,4,,,1,4,5,3,5,3,2,1,4,6,7,4,2,6,4,5,7,8,3,2,,,,,,,,,,,,,,,,,,,2,1,2,2,1,2,1,4,2,150,17,2,2,31,5,4,1,1,4,3,42.428100585938,-71.05460357666
1,3,0,3,0,1,0,4,,,0,2,1,2,,,1,4,,,,,1,1,5,1,2,4,6,7,1,5,3,1,2,6,1,4,1,5,6,1,,,,,,,,,,,,,,,,,,,2,1,2,2,2,5,2,2,2,154,16,2,2,5,4,1,1,7,3,1,38.537002563477,-121.66310119629
,,0,2,1,4,1,2,0,1,0,4,,,0,3,1,1,,,,,1,3,7,6,4,2,6,1,7,5,3,,,,,,,,,,,,,,,,,,,5,6,3,8,6,4,5,4,4,2,1,2,2,1,2,2,3,1,170,19,2,2,10,5,4,1,3,2,2,28.303100585938,-82.704803466797
0,1,,,0,3,,,1,3,0,4,1,1,1,2,1,4,0,2,,,,,6,1,1,6,4,7,5,2,3,9,9,9,9,9,5,5,5,9,,,,,,,,,,,,,,,,,,,2,2,2,2,1,5,2,2,2,210,24,2,2,36,3,3,1,3,6,4,41.392807006836,-81.734703063965
0,3,,,0,4,0,1,1,4,0,2,1,2,1,3,1,1,,,,,,,8,6,3,1,4,5,2,7,6,,,,,,,,,,,,,,,,,,,7,1,1,8,9,2,1,6,7,2,3,2,2,2,1,2,5,1,180,14,2,2,31,5,3,1,4,6,4,40.576705932617,-74.367401123047
1,4,0,2,0,1,0,3,1,1,0,4,,,1,2,,,,,1,3,,,2,3,5,7,4,1,6,2,3,,,,,,,,,,8,8,9,8,9,6,7,9,9,,,,,,,,,,2,1,2,2,2,3,2,4,1,120,14,2,2,30,5,7,1,4,2,1,42.730499267578,-71.495796203613
1,2,1,1,0,1,,,1,3,0,2,,,0,3,1,4,0,4,,,,,3,2,1,4,3,7,2,6,5,,,,,,,,,,,,,,,,,,,3,5,4,5,5,5,4,4,3,2,1,2,2,1,5,1,1,2,250,24,2,2,10,3,2,1,3,3,1,28.910903930664,-81.51139831543
0,4,0,3,0,2,0,1,1,2,1,4,1,1,1,3,,,,,,,,,4,4,4,2,6,5,1,7,3,,,,,,,,,,5,5,6,1,5,1,6,5,3,,,,,,,,,,2,3,2,2,1,2,2,3,1,250,19,2,2,5,5,4,1,6,4,2,34.174896240234,-118.61520385742
0,4,,,1,4,0,3,1,1,0,1,1,2,0,2,,,1,3,,,,,9,2,5,2,6,3,7,4,1,9,9,9,5,7,9,9,9,2,,,,,,,,,,,,,,,,,,,2,1,2,2,2,5,2,3,2,116,16,2,2,22,5,3,1,8,4,4,42.25959777832,-71.47029876709
,,0,1,0,3,,,1,2,0,4,1,3,0,2,1,1,,,,,1,4,3,5,1,5,3,4,6,2,7,,,,,,,,,,5,5,2,2,5,3,2,5,5,,,,,,,,,,2,1,2,2,1,2,1,1,2,150,20,2,2,33,5,3,5,14,3,4,41.119003295898,-73.733001708984
0,1,0,3,0,2,,,0,4,,,1,4,1,2,,,,,1,3,1,1,3,1,2,6,4,1,3,7,5,,,,,,,,,,3,1,2,1,1,3,3,3,3,,,,,,,,,,2,3,2,2,1,5,1,3,2,222,26,1,2,1,5,2,1,2,3,1,31.307601928711,-85.880599975586
1,1,0,3,0,1,,,0,4,,,1,4,1,2,,,0,2,1,3,,,2,1,1,5,3,6,7,2,4,8,3,6,1,9,5,5,5,6,,,,,,,,,,,,,,,,,,,2,1,2,2,1,2,1,1,2,164,21,2,2,34,5,3,1,2,2,1,35.994003295898,-78.898597717285
,,0,3,0,2,0,1,1,3,0,4,,,1,1,1,2,1,4,,,,,6,3,3,5,7,4,1,6,2,7,7,8,7,7,8,7,7,8,,,,,,,,,,,,,,,,,,,2,1,2,2,2,1,1,2,1,280,20,2,2,33,3,2,1,2,2,1,41.854507446289,-71.437797546387
,,0,3,0,1,,,0,2,0,4,,,1,3,1,2,1,4,,,1,1,6,4,4,5,3,7,1,2,6,,,,,,,,,,,,,,,,,,,2,7,1,1,2,7,5,2,1,2,1,2,2,2,3,2,2,2,166,13,2,2,44,6,6,3,14,2,1,29.768600463867,-95.504402160645
1,3,0,3,0,4,0,1,1,1,0,2,,,1,2,1,4,,,,,,,6,3,4,5,7,6,1,3,2,7,7,6,7,7,5,5,3,7,,,,,,,,,,,,,,,,,,,1,1,2,2,2,5,2,2,2,190,15,2,2,36,3,6,1,3,4,4,41.697204589844,-81.197402954102
0,2,,,0,3,0,1,1,4,0,4,1,1,1,2,,,1,3,,,,,4,2,5,1,4,7,3,6,2,,,,,,,,,,,,,,,,,,,9,9,9,6,7,8,2,5,1,2,1,2,2,2,5,1,2,2,205,15,1,2,39,3,2,1,2,1,1,39.960906982422,-75.231002807617
1,1,0,3,1,2,,,,,0,2,1,3,0,4,,,0,1,,,1,4,7,4,7,4,3,1,2,5,6,,,,,,,,,,7,2,3,4,8,5,1,6,6,,,,,,,,,,2,1,2,2,2,1,1,3,2,230,18,2,2,44,4,2,2,1,4,2,25.975997924805,-97.541999816895
1,4,0,2,0,1,0,4,1,3,,,,,,,,,0,3,1,1,1,2,5,4,4,7,5,3,1,2,6,,,,,,,,,,,,,,,,,,,1,1,5,1,1,3,5,3,5,2,1,2,2,2,2,1,4,1,220,20,1,1,11,3,2,1,2,3,1,34.266204833984,-85.115898132324
,,0,2,0,3,0,1,1,4,0,4,,,1,3,1,2,,,,,1,1,4,2,4,7,3,6,1,2,5,,,,,,,,,,3,5,6,1,6,3,6,5,3,,,,,,,,,,2,1,2,2,2,2,1,3,1,200,19,1,2,31,3,3,1,2,2,1,40.785003662109,-73.406196594238
0,1,,,1,4,0,3,1,2,1,3,1,1,0,4,,,0,2,,,,,2,1,3,1,6,7,4,5,2,9,9,9,6,9,9,5,9,7,,,,,,,,,,,,,,,,,,,1,1,2,2,2,6,5,1,2,149,17,2,2,39,2,3,1,2,3,1,39.922302246094,-75.2333984375
,,1,2,,,0,1,0,4,0,3,1,1,1,4,,,0,2,1,3,,,5,6,5,3,2,1,7,4,6,5,6,9,9,6,7,5,6,9,,,,,,,,,,,,,,,,,,,2,1,2,2,2,4,4,1,2,98,12,1,1,14,2,1,1,2,1,1,41.427093505859,-87.598098754883
0,4,0,2,1,3,0,1,1,4,0,3,,,1,1,,,,,1,2,,,9,7,2,4,6,1,3,7,5,,,,,,,,,,5,8,6,2,5,4,6,2,9,,,,,,,,,,2,1,2,2,2,2,2,5,1,135,13,1,2,5,3,3,5,1,4,1,37.374404907227,-121.75820159912
,,0,2,1,2,0,4,1,1,0,3,1,3,,,,,1,4,,,0,1,7,5,2,1,5,6,7,4,3,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,1,4,1,130,16,2,2,33,5,6,1,1,1,1,43.044097900391,-78.694900512695
0,4,1,4,1,2,0,1,1,1,0,3,1,3,,,,,,,,,0,2,4,3,4,2,5,7,1,6,3,,,,,,,,,,,,,,,,,,,1,2,1,1,3,1,1,5,7,2,1,2,2,2,4,3,1,2,225,14,1,1,11,,2,1,2,3,1,33.987594604492,-84.646598815918
0,4,0,2,0,3,,,1,1,0,1,1,2,1,4,1,3,,,,,,,4,3,5,3,2,6,4,7,1,,,,,,,,,,3,2,2,2,3,9,1,9,4,,,,,,,,,,2,1,2,2,1,5,1,1,2,190,22,1,2,33,4,5,1,2,3,1,40.661407470703,-73.958297729492
